glyph_name,ps_name,USV,DesignerOrder
u1D1771D178.Slur09Below,u1D1771D178.Slur09Below,,367
u1D1771D178.Slur10Below,u1D1771D178.Slur10Below,,368
u1D1771D178.Slur11Below,u1D1771D178.Slur11Below,,369
u1D1771D178.Slur12Below,u1D1771D178.Slur12Below,,370
u1D1771D178.Slur13Below,u1D1771D178.Slur13Below,,371
u1D1771D178.Slur14Below,u1D1771D178.Slur14Below,,372
u1D177.TipAbv,u1D177.TipAbv,,373
u1D178.TipAbv,u1D178.TipAbv,,374
u1D1771D178.Slur01Abv,u1D1771D178.Slur01Abv,,375
u1D1771D178.Slur02Abv,u1D1771D178.Slur02Abv,,376
u1D1771D178.Slur03Abv,u1D1771D178.Slur03Abv,,377
u1D1771D178.Slur04Abv,u1D1771D178.Slur04Abv,,378
u1D1771D178.Slur05Abv,u1D1771D178.Slur05Abv,,379
u1D1771D178.Slur06Abv,u1D1771D178.Slur06Abv,,380
u1D1771D178.Slur07Abv,u1D1771D178.Slur07Abv,,381
u1D1771D178.Slur08Abv,u1D1771D178.Slur08Abv,,382
u1D1771D178.Slur09Abv,u1D1771D178.Slur09Abv,,383
u1D1771D178.Slur10Abv,u1D1771D178.Slur10Abv,,384
u1D1771D178.Slur11Abv,u1D1771D178.Slur11Abv,,385
u1D1771D178.Slur12Abv,u1D1771D178.Slur12Abv,,386
u1D1771D178.Slur13Abv,u1D1771D178.Slur13Abv,,387
u1D1771D178.Slur14Abv,u1D1771D178.Slur14Abv,,388
